index,Date,Gender,Age,ImportanceExercise,FitnessLevel,Frequency,Barriers,Activity,DoYouDo,Daytime,Unit,Diet,BarriersDiet,SelfRatingDiet,RecommendedFriend,PurchasedEquipment,Motivation
107,2019/07/04 10:15:19 AM GMT+5:30,Male,40 and above,5,Good,Everyday,I exercise regularly with no barriers,Walking or jogging,Alone,Early morning,30 minutes,Not always,Lack of time,3,Yes,Yes,I want to be fit
108,2019/07/04 10:21:50 AM GMT+5:30,Male,15 to 18,3,Good,1 to 2 times a week,I don't have enough time;I can't stay motivated,Walking or jogging,Alone,Early morning,1 hour,Not always,Temptation and cravings,4,Yes,No,I want to be fit;I want to increase muscle mass and strength;I want to be flexible
109,2019/07/04 10:22:22 AM GMT+5:30,Female,15 to 18,4,Average,1 to 2 times a week,I'll become too tired,Walking or jogging;Gym,Alone,Early morning,1 hour,Not always,Temptation and cravings,4,Yes,Yes,I want to lose weight
110,2019/07/04 10:25:23 AM GMT+5:30,Male,40 and above,5,Good,1 to 2 times a week,I don't have enough time,Walking or jogging,Alone,Early morning,1 hour,Not always,Temptation and cravings,3,No,No,I want to be fit
111,2019/07/04 10:27:25 AM GMT+5:30,Male,19 to 25,3,Average,1 to 2 times a week,I can't stay motivated;I'll become too tired,Walking or jogging;Gym,Alone,Early morning,1 hour,Not always,Lack of time,3,No,No,I want to be fit;I want to think clearly and I want to play cricket with my grandkids
112,2019/07/04 10:29:38 AM GMT+5:30,Male,15 to 18,2,Average,Never,I don't really enjoy exercising,Gym,Alone,Evening,30 minutes,Not always,Ease of access to fast food,2,No,No,I want to increase muscle mass and strength
113,2019/07/04 10:30:00 AM GMT+5:30,Male,15 to 18,3,Average,Never,I don't really enjoy exercising,Team sport;I don't really exercise,I don't really exercise,Evening,I don't really exercise,Not always,Lack of time;Ease of access to fast food;Temptation and cravings,3,Yes,No,I'm sorry ... I'm not really interested in exercising
114,2019/07/04 10:30:50 AM GMT+5:30,Female,15 to 18,4,Average,Never,I can't stay motivated,I don't really exercise,Alone,Evening,I don't really exercise,Yes,Temptation and cravings,3,No,Yes,I'm sorry ... I'm not really interested in exercising
115,2019/07/04 10:31:17 AM GMT+5:30,Male,15 to 18,4,Good,Everyday,I exercise regularly with no barriers,Gym;Swimming;Lifting weights,Alone,Evening,2 hours,Not always,Temptation and cravings,5,No,Yes,I want to be fit;I want to achieve a sporting goal
116,2019/07/04 10:31:35 AM GMT+5:30,Male,15 to 18,4,Good,1 to 2 times a week,I don't have enough time,Team sport,With a friend,Afternoon,2 hours,Not always,Temptation and cravings,4,Yes,No,I want to be fit
117,2019/07/04 10:32:53 AM GMT+5:30,Male,19 to 25,3,Average,Never,I don't have enough time;I can't stay motivated;I have an injury,I don't really exercise,I don't really exercise,Early morning,I don't really exercise,Not always,Temptation and cravings,3,No,No,I want to be fit;I want to relieve stress
118,2019/07/04 10:32:56 AM GMT+5:30,Female,15 to 18,4,Average,1 to 2 times a week,I can't stay motivated,Walking or jogging,With a friend,Evening,30 minutes,No,Temptation and cravings,3,Yes,Yes,I want to be fit
119,2019/07/04 10:34:10 AM GMT+5:30,Male,19 to 25,4,Perfect,Everyday,I don't have enough time,Walking or jogging;Lifting weights,Alone,Evening,30 minutes,Not always,Ease of access to fast food,4,Yes,Yes,I want to be fit
120,2019/07/04 10:35:05 AM GMT+5:30,Male,19 to 25,4,Perfect,5 to 6 times a week,I don't have enough time;I can't stay motivated,Gym;Team sport,With a group,Early morning,2 hours,No,Ease of access to fast food;Temptation and cravings,3,Yes,Yes,I want to increase muscle mass and strength;I want to achieve a sporting goal
121,2019/07/04 10:39:07 AM GMT+5:30,Female,19 to 25,3,Average,1 to 2 times a week,I'll become too tired,Walking or jogging;Swimming,With a friend,Evening,30 minutes,Yes,Ease of access to fast food,3,Yes,Yes,I want to be fit
122,2019/07/04 10:39:09 AM GMT+5:30,Female,19 to 25,3,Average,5 to 6 times a week,I don't have enough time;I can't stay motivated,Walking or jogging,Alone,Early morning,30 minutes,Not always,Temptation and cravings,3,No,No,I want to lose weight
123,2019/07/04 10:39:58 AM GMT+5:30,Male,15 to 18,1,Average,1 to 2 times a week,I don't have enough time,Walking or jogging,Alone,Early morning,30 minutes,No,Temptation and cravings,3,No,No,I want to be fit
124,2019/07/04 10:41:00 AM GMT+5:30,Female,15 to 18,5,Good,1 to 2 times a week,I don't have enough time;I can't stay motivated,Walking or jogging,With a friend,Evening,2 hours,No,Temptation and cravings,3,Yes,No,I want to be fit;I want to be flexible;I want to relieve stress
125,2019/07/04 10:42:57 AM GMT+5:30,Female,15 to 18,5,Unfit,Never,I can't stay motivated,I don't really exercise,I don't really exercise,Early morning,I don't really exercise,No,Temptation and cravings,1,Yes,Yes,I want to lose weight
126,2019/07/04 10:43:51 AM GMT+5:30,Male,19 to 25,5,Average,Everyday,I don't have enough time;I can't stay motivated,Walking or jogging,Alone,Evening,30 minutes,Not always,Lack of time,3,Yes,No,I want to increase muscle mass and strength;I want to relieve stress
127,2019/07/04 10:44:33 AM GMT+5:30,Male,19 to 25,5,Perfect,Everyday,I exercise regularly with no barriers,Swimming;Team sport,With a group,Evening,3 hours and above,Yes,Lack of time,5,Yes,Yes,I want to be fit;I want to be flexible;I want to achieve a sporting goal
128,2019/07/04 10:46:02 AM GMT+5:30,Female,15 to 18,5,Good,Everyday,I don't have enough time;I exercise regularly with no barriers,Gym,With a friend,Evening,2 hours,Yes,Ease of access to fast food;Temptation and cravings,3,Yes,Yes,I want to be fit;I want to lose weight;I want to be flexible
129,2019/07/04 10:51:53 AM GMT+5:30,Female,19 to 25,3,Good,Everyday,I don't have enough time,Zumba dance,With a group,Early morning,2 hours,Not always,Lack of time,3,Yes,No,I want to increase muscle mass and strength
130,2019/07/04 10:52:36 AM GMT+5:30,Female,15 to 18,4,Good,Everyday,I don't have enough time;I can't stay motivated;I'll become too tired,Walking or jogging,With a group,Evening,30 minutes,Not always,Lack of time;Temptation and cravings,5,No,No,I want to lose weight
131,2019/07/04 10:54:49 AM GMT+5:30,Female,15 to 18,3,Good,Everyday,I'm too lazy,Walking or jogging,With a friend,Evening,30 minutes,No,Ease of access to fast food,3,No,No,I dont wanna gain weight😉
132,2019/07/04 10:59:14 AM GMT+5:30,Male,19 to 25,5,Good,Everyday,I exercise regularly with no barriers,Walking or jogging;Yoga,Alone,Early morning,30 minutes,No,Temptation and cravings,3,No,No,I want to be fit;I want to increase muscle mass and strength;I want to lose weight
133,2019/07/04 11:04:51 AM GMT+5:30,Female,30 to 40,5,Average,Everyday,I exercise regularly with no barriers,Yoga,Alone,Early morning,30 minutes,Yes,Temptation and cravings,3,No,No,I want to be fit
134,2019/07/04 11:07:40 AM GMT+5:30,Female,15 to 18,2,Unfit,Never,I don't really enjoy exercising,I don't really exercise,I don't really exercise,Early morning,I don't really exercise,No,Temptation and cravings,1,Yes,No,I'm sorry ... I'm not really interested in exercising
135,2019/07/04 11:07:53 AM GMT+5:30,Female,40 and above,2,Unfit,1 to 2 times a week,I don't really enjoy exercising,Walking or jogging;I don't really exercise,I don't really exercise,Evening,I don't really exercise,Not always,Temptation and cravings,1,No,No,I'm sorry ... I'm not really interested in exercising
136,2019/07/04 11:09:49 AM GMT+5:30,Female,15 to 18,4,Average,1 to 2 times a week,I don't have enough time;I can't stay motivated,Walking or jogging;Yoga,Within a class environment,Evening,30 minutes,Not always,Temptation and cravings,3,Yes,No,I want to increase muscle mass and strength;I want to relieve stress
137,2019/07/04 11:10:41 AM GMT+5:30,Female,19 to 25,3,Average,Never,I can't stay motivated,I don't really exercise,I don't really exercise,Evening,I don't really exercise,Yes,Temptation and cravings,3,No,Yes,I want to be fit
138,2019/07/04 11:14:59 AM GMT+5:30,Female,15 to 18,2,Good,1 to 2 times a week,I don't have enough time,Walking or jogging,Alone,Evening,30 minutes,Not always,Temptation and cravings,4,No,No,I want to be fit
139,2019/07/04 11:19:33 AM GMT+5:30,Female,30 to 40,3,Good,2 to 3 times a week,I don't really enjoy exercising,Walking or jogging,Alone,Early morning,30 minutes,Not always,Lack of time;Cost,3,Yes,No,I want to be fit;I want to lose weight;I want to be flexible;I want to relieve stress
140,2019/07/04 11:22:46 AM GMT+5:30,Male,40 and above,5,Good,1 to 2 times a week,I can't stay motivated,Walking or jogging,Alone,Evening,30 minutes,Yes,Temptation and cravings,4,Yes,Yes,I want to be flexible
141,2019/07/04 11:28:32 AM GMT+5:30,Male,19 to 25,3,Average,1 to 2 times a week,I don't have enough time;I'll become too tired,Walking or jogging;Team sport,Alone,Early morning,30 minutes,Not always,Lack of time;Temptation and cravings,3,Yes,No,I want to be fit;I want to be flexible
142,2019/07/04 11:31:09 AM GMT+5:30,Male,40 and above,5,Average,1 to 2 times a week,I have an injury,Walking or jogging,Alone,Early morning,30 minutes,Yes,Temptation and cravings,3,Yes,Yes,I want to be fit;I want to increase muscle mass and strength;I want to be flexible;I want to relieve stress
143,2019/07/04 11:32:31 AM GMT+5:30,Female,40 and above,2,Good,Never,I don't have enough time;I can't stay motivated,I don't really exercise,I don't really exercise,Evening,I don't really exercise,Not always,Temptation and cravings,3,No,Yes,I want to lose weight;I want to relieve stress
144,2019/07/04 11:34:24 AM GMT+5:30,Female,19 to 25,4,Good,1 to 2 times a week,I don't have enough time;I can't stay motivated,Gym,With a friend,Evening,30 minutes,Not always,Lack of time;Temptation and cravings,3,No,No,I want to be fit;I want to be flexible
145,2019/07/04 11:34:55 AM GMT+5:30,Male,40 and above,5,Very good,5 to 6 times a week,I exercise regularly with no barriers,Yoga;Team sport,With a group,Early morning,2 hours,Yes,Lack of time,5,Yes,No,I want to be fit
146,2019/07/04 11:39:33 AM GMT+5:30,Male,30 to 40,5,Good,5 to 6 times a week,I exercise regularly with no barriers,Walking or jogging;Gym,Alone,Early morning,1 hour,Yes,Temptation and cravings,5,Yes,Yes,I want to be fit
147,2019/07/04 11:41:07 AM GMT+5:30,Male,26 to 30,3,Average,1 to 2 times a week,I can't stay motivated,Walking or jogging;Gym;Swimming,Alone,Early morning,30 minutes,Not always,Ease of access to fast food,3,No,No,I want to be fit;I want to lose weight
148,2019/07/04 11:42:26 AM GMT+5:30,Male,40 and above,4,Average,2 to 3 times a week,I can't stay motivated,Walking or jogging,Alone,Evening,1 hour,Not always,Ease of access to fast food;Temptation and cravings,3,No,No,I want to be fit
149,2019/07/04 11:42:59 AM GMT+5:30,Female,15 to 18,5,Average,Never,Laziness,I don't really exercise,I don't really exercise,Evening,I don't really exercise,Not always,Temptation and cravings,3,Yes,Yes,I want to increase muscle mass and strength
150,2019/07/04 11:46:22 AM GMT+5:30,Female,19 to 25,4,Good,Never,Lazy,Walking or jogging,I don't really exercise,Early morning,I don't really exercise,Not always,Temptation and cravings,4,Yes,No,I want to be flexible
151,2019/07/04 11:48:34 AM GMT+5:30,Female,40 and above,5,Average,1 to 2 times a week,I can't stay motivated,Gym,Alone,Evening,1 hour,No,Ease of access to fast food,2,Yes,Yes,I want to lose weight;I want to be flexible
152,2019/07/04 11:49:44 AM GMT+5:30,Male,40 and above,5,Good,1 to 2 times a week,I don't have enough time,Walking or jogging,Alone,Early morning,30 minutes,Not always,Lack of time,3,Yes,Yes,I want to be fit;I want to relieve stress
153,2019/07/04 11:55:04 AM GMT+5:30,Male,40 and above,4,Average,1 to 2 times a week,I'll become too tired,Walking or jogging;Swimming,Alone,Evening,1 hour,Not always,Temptation and cravings,3,Yes,No,I want to be flexible
154,2019/07/04 11:57:27 AM GMT+5:30,Male,30 to 40,3,Average,Never,I exercise regularly with no barriers,Walking or jogging,Alone,Early morning,1 hour,No,Lack of time,5,Yes,No,I want to lose weight
155,2019/07/04 12:01:22 PM GMT+5:30,Female,15 to 18,4,Very good,2 to 3 times a week,I can't stay motivated,Swimming;Yoga,Alone,Evening,30 minutes,Yes,Ease of access to fast food,3,Yes,No,I want to be flexible
156,2019/07/04 12:06:54 PM GMT+5:30,Male,19 to 25,5,Very good,1 to 2 times a week,I don't have enough time,Walking or jogging;Gym;Yoga;Lifting weights,Alone,Evening,30 minutes,Not always,Lack of time;Ease of access to fast food,4,No,No,I want to be fit;I want to increase muscle mass and strength
157,2019/07/04 12:18:12 PM GMT+5:30,Male,19 to 25,5,Good,1 to 2 times a week,I don't have enough time;I can't stay motivated;I'll become too tired;I exercise regularly with no barriers,Walking or jogging;Gym;Lifting weights,Alone,Early morning,30 minutes,Not always,Lack of time;Temptation and cravings,5,Yes,No,I want to be fit;I want to increase muscle mass and strength;I want to lose weight;I want to be flexible;I want to relieve stress;I want to achieve a sporting goal
158,2019/07/04 12:18:47 PM GMT+5:30,Male,15 to 18,5,Very good,Everyday,I don't have enough time;I exercise regularly with no barriers,Walking or jogging;Team sport,With a group,Evening,2 hours,Not always,Temptation and cravings,4,Yes,Yes,I want to be fit;I want to be flexible;I want to achieve a sporting goal
159,2019/07/04 12:19:37 PM GMT+5:30,Female,15 to 18,5,Very good,3 to 4 times a week,I can't stay motivated,Walking or jogging,Alone,Afternoon,30 minutes,Not always,Temptation and cravings,3,Yes,Yes,I want to achieve a sporting goal
160,2019/07/04 12:19:47 PM GMT+5:30,Male,19 to 25,4,Average,3 to 4 times a week,I don't have enough time,Gym;Lifting weights,With a group,Evening,1 hour,Not always,Temptation and cravings,3,Yes,Yes,I want to be fit
161,2019/07/04 12:29:33 PM GMT+5:30,Male,19 to 25,5,Very good,5 to 6 times a week,I exercise regularly with no barriers,Walking or jogging;Swimming;Team sport,With a friend,Early morning,2 hours,Yes,Lack of time,4,Yes,No,I want to be fit;I want to be flexible;I want to relieve stress
162,2019/07/04 12:31:01 PM GMT+5:30,Male,19 to 25,5,Good,2 to 3 times a week,I don't have enough time;I can't stay motivated,Walking or jogging,Alone,Early morning,30 minutes,No,Lack of time;Ease of access to fast food;Temptation and cravings,4,No,Yes,I want to be fit;I want to increase muscle mass and strength;I want to be flexible;I want to relieve stress
163,2019/07/04 12:33:48 PM GMT+5:30,Male,19 to 25,5,Very good,1 to 2 times a week,I don't have enough time,Gym;Swimming;Team sport,With a friend,Evening,1 hour,Not always,Lack of time,4,Yes,No,I want to be fit;I want to relieve stress;I want to achieve a sporting goal
164,2019/07/04 12:41:45 PM GMT+5:30,Male,15 to 18,4,Good,1 to 2 times a week,I'll become too tired,Walking or jogging;Yoga;Zumba dance,Alone,Evening,30 minutes,Yes,Ease of access to fast food;Temptation and cravings,4,No,No,I want to be fit;I want to increase muscle mass and strength;I want to be flexible
165,2019/07/04 12:45:56 PM GMT+5:30,Male,40 and above,5,Good,5 to 6 times a week,I exercise regularly with no barriers,Walking or jogging;Yoga,With a group,Early morning,1 hour,Not always,Ease of access to fast food;Temptation and cravings,4,Yes,Yes,I want to be fit;I want to lose weight;I want to be flexible;I want to relieve stress
166,2019/07/04 12:47:47 PM GMT+5:30,Male,19 to 25,4,Very good,3 to 4 times a week,I don't have enough time;I have an injury,Gym;Lifting weights;Team sport,With a friend,Evening,1 hour,Yes,Temptation and cravings,4,Yes,Yes,I want to be fit;I want to increase muscle mass and strength;I want to lose weight
167,2019/07/04 12:48:51 PM GMT+5:30,Male,19 to 25,4,Good,3 to 4 times a week,I don't have enough time;I have an injury,Walking or jogging;Team sport,With a group,Early morning,1 hour,Not always,Ease of access to fast food;Temptation and cravings,3,No,No,I want to be fit;I want to be flexible;I want to relieve stress
168,2019/07/04 12:51:17 PM GMT+5:30,Female,40 and above,4,Average,1 to 2 times a week,I don't have enough time,Walking or jogging,Alone,Evening,1 hour,Not always,Temptation and cravings,3,No,No,I want to increase muscle mass and strength
169,2019/07/04 12:53:33 PM GMT+5:30,Female,15 to 18,2,Unfit,Never,I don't have enough time,I don't really exercise,I don't really exercise,Early morning,I don't really exercise,Not always,Lack of time,3,No,No,I'm sorry ... I'm not really interested in exercising
170,2019/07/04 12:54:14 PM GMT+5:30,Female,19 to 25,4,Good,3 to 4 times a week,I don't have enough time,Walking or jogging;Gym,Alone,Evening,30 minutes,Not always,Temptation and cravings,3,Yes,No,I want to be fit;I want to increase muscle mass and strength;I want to be flexible
171,2019/07/04 12:54:52 PM GMT+5:30,Female,15 to 18,2,Average,Never,I don't have enough time,I don't really exercise,I don't really exercise,Evening,I don't really exercise,Yes,Temptation and cravings,3,No,No,I want to be fit;I want to be flexible
172,2019/07/04 12:55:12 PM GMT+5:30,Female,15 to 18,5,Average,Never,I don't have enough time,Walking or jogging;I don't really exercise,I don't really exercise,Early morning,I don't really exercise,Not always,Lack of time;Ease of access to fast food;Temptation and cravings,3,Yes,No,I want to be fit;I want to increase muscle mass and strength;I want to relieve stress
173,2019/07/04 12:56:01 PM GMT+5:30,Female,30 to 40,5,Unfit,Never,I don't have enough time;I can't stay motivated,I don't really exercise,I don't really exercise,Early morning,I don't really exercise,No,Lack of time;Ease of access to fast food;Temptation and cravings,1,Yes,Yes,I want to be fit;I want to lose weight;I want to be flexible;I want to relieve stress
174,2019/07/04 12:59:20 PM GMT+5:30,Female,15 to 18,4,Very good,2 to 3 times a week,I don't have enough time;I'll become too tired,Gym,With a friend,Evening,30 minutes,Not always,Temptation and cravings,4,Yes,Yes,I want to be fit
175,2019/07/04 12:59:24 PM GMT+5:30,Female,15 to 18,4,Good,1 to 2 times a week,I don't really enjoy exercising,Zumba dance,With a group,Evening,1 hour,No,Temptation and cravings,4,Yes,Yes,I want to lose weight
176,2019/07/04 12:59:58 PM GMT+5:30,Male,40 and above,5,Perfect,Everyday,I don't have enough time,Walking or jogging;Yoga,Alone,Early morning,1 hour,Yes,Temptation and cravings,5,Yes,Yes,I want to be fit;I want to increase muscle mass and strength;I want to be flexible;I want to relieve stress
177,2019/07/04 1:03:59 PM GMT+5:30,Female,19 to 25,4,Average,1 to 2 times a week,I don't have enough time,Yoga,Alone,Early morning,1 hour,Not always,Temptation and cravings,3,Yes,No,I want to be fit;I want to be flexible;I want to relieve stress
178,2019/07/04 1:04:26 PM GMT+5:30,Male,19 to 25,5,Perfect,Everyday,I exercise regularly with no barriers,Walking or jogging;Gym;Lifting weights;Team sport,Alone,Evening,1 hour,Yes,Ease of access to fast food,5,Yes,No,I want to be fit;I want to increase muscle mass and strength;I want to be flexible;I want to relieve stress
179,2019/07/04 1:05:20 PM GMT+5:30,Male,40 and above,5,Very good,5 to 6 times a week,I don't have enough time,Gym,Alone,Early morning,1 hour,Not always,Lack of time;Temptation and cravings,4,Yes,No,I want to be fit;I want to increase muscle mass and strength;I want to be flexible
180,2019/07/04 1:05:29 PM GMT+5:30,Male,40 and above,5,Perfect,Everyday,I exercise regularly with no barriers,Walking or jogging;Gym;Swimming;Yoga;Zumba dance;Lifting weights;Team sport,Alone,Early morning,3 hours and above,Yes,Lack of time,5,Yes,Yes,I want to be fit
181,2019/07/04 1:06:13 PM GMT+5:30,Male,15 to 18,2,Unfit,Never,I can't stay motivated;I don't really enjoy exercising,I don't really exercise,I don't really exercise,Early morning,I don't really exercise,Not always,Ease of access to fast food;Temptation and cravings,3,No,No,I'm sorry ... I'm not really interested in exercising
182,2019/07/04 1:07:40 PM GMT+5:30,Female,19 to 25,1,Unfit,Never,Laziness ,I don't really exercise,I don't really exercise,Early morning,I don't really exercise,No,Ease of access to fast food;Temptation and cravings,2,No,No,I'm sorry ... I'm not really interested in exercising
183,2019/07/04 1:11:17 PM GMT+5:30,Female,15 to 18,3,Good,2 to 3 times a week,I can't stay motivated,Walking or jogging,With a friend,Evening,1 hour,Not always,Lack of time,3,No,No,I want to lose weight
184,2019/07/04 1:11:36 PM GMT+5:30,Female,30 to 40,4,Average,Never,I don't have enough time,Walking or jogging,I don't really exercise,Early morning,I don't really exercise,No,Lack of time,2,Yes,No,I want to relieve stress
185,2019/07/04 1:12:24 PM GMT+5:30,Female,40 and above,5,Very good,5 to 6 times a week,I'll become too tired,Team sport,With a friend,Evening,1 hour,Not always,Lack of time,4,Yes,Yes,I want to be fit
186,2019/07/04 1:12:32 PM GMT+5:30,Male,19 to 25,5,Good,5 to 6 times a week,I don't have enough time,Walking or jogging;Gym;Lifting weights,Alone,Evening,1 hour,Not always,Lack of time;Temptation and cravings,3,No,Yes,I want to be fit;I want to increase muscle mass and strength;I want to relieve stress
187,2019/07/04 1:12:40 PM GMT+5:30,Female,15 to 18,4,Average,Everyday,I don't have enough time;I can't stay motivated,Gym,Alone,Early morning,1 hour,Not always,Ease of access to fast food,3,No,Yes,I want to lose weight
188,2019/07/04 1:13:17 PM GMT+5:30,Female,15 to 18,3,Good,1 to 2 times a week,I don't have enough time;I have an injury;No gym near me,Walking or jogging,I don't really exercise,Early morning,30 minutes,Not always,Lack of time;Cost,3,Yes,No,I want to be fit;I want to lose weight;I want to be flexible;I want to relieve stress
189,2019/07/04 1:15:51 PM GMT+5:30,Male,19 to 25,5,Average,Never,I can't stay motivated,Gym,With a friend,Early morning,2 hours,No,Temptation and cravings,3,Yes,Yes,I want to be fit
190,2019/07/04 1:17:26 PM GMT+5:30,Male,19 to 25,5,Good,3 to 4 times a week,I have an injury,Team sport,With a group,Early morning,2 hours,Not always,Cost;Ease of access to fast food,3,Yes,No,I want to relieve stress;I want to achieve a sporting goal
191,2019/07/04 1:24:12 PM GMT+5:30,Female,19 to 25,4,Good,2 to 3 times a week,I don't have enough time;I can't stay motivated;I'll become too tired,Gym,With a friend,Evening,1 hour,Not always,Temptation and cravings,4,No,Yes,I want to be flexible
192,2019/07/04 1:24:54 PM GMT+5:30,Male,15 to 18,4,Good,1 to 2 times a week,I can't stay motivated,Walking or jogging,Alone,Early morning,30 minutes,Not always,Temptation and cravings,4,No,No,I want to be fit
193,2019/07/04 1:27:57 PM GMT+5:30,Female,19 to 25,4,Good,1 to 2 times a week,I don't have enough time;I'll become too tired,Walking or jogging;Team sport,With a friend,Early morning,30 minutes,Not always,Ease of access to fast food;Temptation and cravings,3,Yes,No,I want to be flexible;I want to relieve stress;I want to achieve a sporting goal
194,2019/07/04 1:30:06 PM GMT+5:30,Male,30 to 40,3,Average,1 to 2 times a week,I don't really enjoy exercising,Team sport,With a group,Evening,2 hours,No,Cost,3,No,No,I'm sorry ... I'm not really interested in exercising
195,2019/07/04 1:30:44 PM GMT+5:30,Male,19 to 25,5,Unfit,2 to 3 times a week,I don't have enough time;I can't stay motivated,Walking or jogging;Swimming;Lifting weights,Alone,Early morning,1 hour,Not always,Lack of time;Ease of access to fast food,1,Yes,No,I want to be fit;I want to lose weight;I want to be flexible;I want to achieve a sporting goal
196,2019/07/04 1:31:39 PM GMT+5:30,Male,15 to 18,3,Good,Never,I don't have enough time;I don't really enjoy exercising,I don't really exercise,With a group,Early morning,I don't really exercise,No,Ease of access to fast food,3,Yes,No,I'm sorry ... I'm not really interested in exercising
197,2019/07/04 1:32:04 PM GMT+5:30,Male,40 and above,5,Good,3 to 4 times a week,I don't have enough time;Travel,Walking or jogging;Gym;Swimming;Lifting weights,Alone,Early morning,1 hour,Not always,Lack of time,3,Yes,Yes,I want to be fit;I want to relieve stress
198,2019/07/04 1:36:53 PM GMT+5:30,Male,40 and above,3,Average,Never,I have an injury;Allergies,Yoga;I don't really exercise,Alone,Early morning,30 minutes,Yes,Lack of time,4,Yes,Yes,I want to be flexible
199,2019/07/04 1:39:23 PM GMT+5:30,Male,40 and above,5,Good,3 to 4 times a week,I don't have enough time,Walking or jogging;Gym,Alone,Evening,1 hour,Yes,Temptation and cravings,4,Yes,Yes,I want to be fit
200,2019/07/04 1:40:34 PM GMT+5:30,Female,15 to 18,3,Average,Never,I don't have enough time;I don't really enjoy exercising,Walking or jogging,Alone,Evening,I don't really exercise,Not always,Temptation and cravings,3,Yes,No,I want to lose weight
201,2019/07/04 1:40:59 PM GMT+5:30,Male,30 to 40,4,Average,1 to 2 times a week,I can't stay motivated,Team sport,With a group,Early morning,30 minutes,Not always,Temptation and cravings,3,No,No,I want to relieve stress
202,2019/07/04 1:42:57 PM GMT+5:30,Male,15 to 18,4,Very good,2 to 3 times a week,I can't stay motivated,Gym,With a friend,Evening,30 minutes,Not always,Temptation and cravings,3,No,No,I want to lose weight
203,2019/07/04 1:43:51 PM GMT+5:30,Male,15 to 18,5,Good,5 to 6 times a week,I have an injury,Gym;Team sport,With a friend,Evening,2 hours,No,Ease of access to fast food,3,Yes,No,I want to be fit;I want to increase muscle mass and strength;I want to be flexible;I want to achieve a sporting goal
204,2019/07/04 1:44:16 PM GMT+5:30,Female,26 to 30,5,Good,5 to 6 times a week,I don't have enough time,Gym;Lifting weights,Alone,Afternoon,1 hour,Not always,Lack of time;Temptation and cravings,3,Yes,No,I want to be fit;I want to lose weight;I want to relieve stress
205,2019/07/04 1:44:41 PM GMT+5:30,Female,19 to 25,3,Very good,1 to 2 times a week,I don't have enough time,Walking or jogging,Alone,Early morning,30 minutes,Yes,Lack of time;Temptation and cravings,4,No,Yes,I want to be fit
206,2019/07/04 1:45:43 PM GMT+5:30,Female,40 and above,4,Average,3 to 4 times a week,I'll become too tired,Yoga,With a group,Early morning,2 hours,Yes,Ease of access to fast food;Temptation and cravings,3,Yes,No,I want to lose weight;I want to be flexible;I want to relieve stress
207,2019/07/04 1:49:57 PM GMT+5:30,Female,19 to 25,4,Unfit,2 to 3 times a week,I don't have enough time;I'll become too tired,Walking or jogging,Alone,Early morning,30 minutes,Not always,Temptation and cravings,3,Yes,Yes,I want to be fit;I want to lose weight;I want to be flexible
208,2019/07/04 1:59:44 PM GMT+5:30,Female,19 to 25,3,Average,2 to 3 times a week,I'll become too tired,Walking or jogging;Gym;Zumba dance,Alone,Early morning,30 minutes,Not always,Ease of access to fast food;Temptation and cravings,3,No,No,I want to be fit;I want to lose weight
209,2019/07/04 2:00:06 PM GMT+5:30,Female,15 to 18,4,Good,2 to 3 times a week,I don't have enough time;I can't stay motivated,Gym;Yoga,Alone,Early morning,30 minutes,No,Cost;Ease of access to fast food;Temptation and cravings,4,No,No,I want to be fit;I want to be flexible
210,2019/07/04 2:10:20 PM GMT+5:30,Female,40 and above,4,Average,3 to 4 times a week,I can't stay motivated,Walking or jogging;Yoga,Within a class environment,Early morning,1 hour,Not always,Ease of access to fast food;Temptation and cravings,2,Yes,Yes,I want to be fit;I want to lose weight;I want to be flexible;I want to relieve stress
211,2019/07/04 2:16:10 PM GMT+5:30,Male,30 to 40,5,Good,1 to 2 times a week,I can't stay motivated,Walking or jogging,Alone,Early morning,30 minutes,Not always,Lack of time,4,Yes,No,I want to relieve stress
212,2019/07/04 2:34:36 PM GMT+5:30,Female,19 to 25,3,Average,Never,I can't stay motivated,I don't really exercise,I don't really exercise,Early morning,I don't really exercise,No,Temptation and cravings,2,No,No,I'm sorry ... I'm not really interested in exercising
213,2019/07/04 2:36:53 PM GMT+5:30,Male,30 to 40,3,Average,Never,I don't have enough time;I'll become too tired,I don't really exercise,I don't really exercise,Early morning,I don't really exercise,Not always,Lack of time,3,Yes,No,I want to relieve stress
214,2019/07/04 2:39:22 PM GMT+5:30,Female,19 to 25,3,Average,1 to 2 times a week,I don't have enough time;I can't stay motivated,I don't really exercise,Alone,Evening,I don't really exercise,Not always,Lack of time;Ease of access to fast food,2,No,Yes,I want to be fit;I want to lose weight
215,2019/07/04 2:43:11 PM GMT+5:30,Male,30 to 40,5,Good,5 to 6 times a week,I exercise regularly with no barriers,Walking or jogging;Gym,Alone,Early morning,1 hour,Yes,Temptation and cravings,5,Yes,Yes,I want to be fit
216,2019/07/04 2:44:13 PM GMT+5:30,Female,15 to 18,5,Good,1 to 2 times a week,I don't have enough time,Walking or jogging,Alone,Early morning,30 minutes,Not always,Lack of time,4,Yes,No,I want to be flexible
217,2019/07/04 2:44:24 PM GMT+5:30,Female,19 to 25,2,Unfit,Never,I can't stay motivated,I don't really exercise,I don't really exercise,Early morning,I don't really exercise,No,Ease of access to fast food,3,Yes,No,I want to lose weight;I want to be flexible
